Samples,Epochs,Batchsize,Offers,Type,Time,Price
N/A,N/A,N/A,20,N/A,10.65,2033
1000,100,128,20,lex,0.28,2033
1000,100,1024,20,lex,0.27,2033
1000,1000,32,20,lex,0.28,2033
5636,100,256,20,lex,0.27,2033
5636,100,32,20,lex,0.27,2033
1000,1000,512,20,lex,0.27,2033
1000,100,256,20,lex,0.26,2033
5636,100,1024,20,lex,0.28,2033
5636,100,128,20,lex,0.28,2033
1000,100,32,20,lex,0.27,2033
5636,100,512,20,lex,0.28,2033
1000,1000,64,20,lex,0.28,2033
1000,1000,1024,20,lex,0.31,2033
1000,1000,128,20,lex,0.28,2033
1000,100,64,20,lex,0.28,2033
1000,100,512,20,lex,0.27,2033
5636,100,64,20,lex,0.3,2033
1000,1000,256,20,lex,0.28,2033
N/A,N/A,N/A,27,N/A,29.55,1560
1000,1000,64,27,lex,0.26,1800
1000,1000,1024,27,lex,0.26,1800
5636,100,512,27,lex,0.28,1800
1000,1000,128,27,lex,0.26,1800
1000,100,64,27,lex,0.28,1800
1000,1000,256,27,lex,0.26,1800
5636,100,64,27,lex,0.3,1800
1000,100,512,27,lex,0.27,1800
1000,100,1024,27,lex,0.32,1560
1000,100,128,27,lex,0.28,1800
5636,100,256,27,lex,0.28,1800
1000,1000,32,27,lex,2.32,2040
1000,100,256,27,lex,0.26,1800
1000,1000,512,27,lex,0.26,1800
5636,100,32,27,lex,0.27,1800
1000,100,32,27,lex,0.28,1800
5636,100,128,27,lex,0.27,1800
5636,100,1024,27,lex,0.27,1800
N/A,N/A,N/A,40,N/A,104.1,1652
5636,100,1024,40,lex,0.88,1652
5636,100,128,40,lex,0.9,1652
1000,100,32,40,lex,0.9,1652
5636,100,32,40,lex,0.9,1652
1000,1000,512,40,lex,0.89,1652
1000,100,256,40,lex,0.89,1652
1000,1000,32,40,lex,0.75,1652
5636,100,256,40,lex,0.9,1652
1000,100,128,40,lex,0.9,1652
1000,100,1024,40,lex,0.71,1652
1000,100,512,40,lex,0.9,1652
5636,100,64,40,lex,1.06,1652
1000,1000,256,40,lex,0.89,1652
1000,100,64,40,lex,0.9,1652
1000,1000,128,40,lex,0.89,1652
5636,100,512,40,lex,0.9,1652
1000,1000,64,40,lex,0.89,1652
1000,1000,1024,40,lex,0.89,1652
N/A,N/A,N/A,250,N/A,N/A,N/A
1000,1000,1024,250,lex,267.43,3695
1000,1000,32,250,lex,247.97,3695
1000,1000,64,250,lex,2.07,1512
5636,100,512,250,lex,265.56,3695
1000,100,512,250,lex,2.16,1512
1000,100,1024,250,lex,3.59,1512
1000,1000,256,250,lex,2.06,1512
1000,1000,128,250,lex,2.07,1512
5636,100,256,250,lex,266.22,3695
5636,100,128,250,lex,2.14,1512
1000,100,64,250,lex,265.24,3695
5636,100,1024,250,lex,258.56,3695
1000,100,32,250,lex,265.55,3695
1000,1000,512,250,lex,2.07,1512
5636,100,32,250,lex,2.13,1512
1000,100,256,250,lex,267.18,3695
1000,100,128,250,lex,262.63,3695
5636,100,64,250,lex,2.51,1512
N/A,N/A,N/A,500,N/A,N/A,N/A
1000,100,32,500,lex,1232.54,3430
5636,100,1024,500,lex,1252.53,3430
1000,100,64,500,lex,1258.12,3430
5636,100,256,500,lex,1259.73,3430
5636,100,128,500,lex,6.19,1442
5636,100,64,500,lex,6.56,1442
1000,100,256,500,lex,1215.22,3430
1000,100,128,500,lex,1251.64,3430
5636,100,32,500,lex,1279.53,3430
1000,1000,512,500,lex,6.07,1442
5636,100,512,500,lex,1230.86,3430
1000,1000,64,500,lex,6.04,1442
1000,1000,1024,500,lex,1217.75,3430
1000,1000,32,500,lex,1307.48,3430
1000,1000,256,500,lex,6.07,1442
1000,1000,128,500,lex,6.01,1442
1000,100,1024,500,lex,5.77,1442
1000,100,512,500,lex,6.23,1442
