Samples,Epochs,Batchsize,Offers,Type,Time,Price
N/A,N/A,N/A,20,N/A,N/A,N/A
1000,100,256,20,lex,0.63,2673
1000,100,1024,20,lex,1.39,2673
5636,100,128,20,lex,0.63,2673
5636,100,64,20,lex,0.65,2673
1000,1000,512,20,lex,0.63,2673
1000,100,128,20,lex,0.64,2673
1000,1000,32,20,lex,0.77,2673
5636,100,256,20,lex,0.62,2673
5636,100,1024,20,lex,0.78,2673
1000,100,64,20,lex,0.62,2673
1000,100,512,20,lex,0.6,2673
1000,1000,128,20,lex,0.61,2673
1000,1000,64,20,lex,0.67,2673
1000,100,32,20,lex,0.63,2673
5636,100,512,20,lex,0.66,2673
5636,100,32,20,lex,0.78,2673
1000,1000,256,20,lex,0.62,2673
1000,1000,1024,20,lex,0.66,2673
N/A,N/A,N/A,27,N/A,N/A,N/A
1000,100,512,27,lex,0.51,1800
1000,1000,128,27,lex,0.51,1800
5636,100,512,27,lex,0.55,1800
1000,100,32,27,lex,0.54,1800
1000,1000,64,27,lex,0.53,1800
1000,1000,1024,27,lex,0.53,1800
1000,1000,256,27,lex,0.51,1800
5636,100,32,27,lex,0.54,1800
1000,100,1024,27,lex,0.37,1800
1000,100,256,27,lex,0.54,1800
5636,100,128,27,lex,0.51,1800
1000,1000,512,27,lex,0.54,1800
1000,100,128,27,lex,0.54,1800
5636,100,64,27,lex,0.52,1800
1000,100,64,27,lex,0.53,1800
5636,100,1024,27,lex,0.53,1800
5636,100,256,27,lex,0.53,1800
1000,1000,32,27,lex,5.49,2640
N/A,N/A,N/A,40,N/A,N/A,N/A
1000,1000,32,40,lex,1.61,2292
5636,100,256,40,lex,2.03,2292
5636,100,1024,40,lex,2.07,2292
1000,100,64,40,lex,2.09,2292
5636,100,64,40,lex,2.66,2292
1000,1000,512,40,lex,2.75,2292
1000,100,128,40,lex,2.13,2292
5636,100,128,40,lex,2.1,2292
1000,100,256,40,lex,2.0,2292
1000,100,1024,40,lex,1.82,2292
5636,100,32,40,lex,2.14,2292
1000,1000,256,40,lex,2.16,2292
1000,1000,1024,40,lex,1.96,2292
1000,1000,64,40,lex,2.28,2292
1000,100,32,40,lex,2.0,2292
5636,100,512,40,lex,1.97,2292
1000,100,512,40,lex,1.98,2292
1000,1000,128,40,lex,2.14,2292
N/A,N/A,N/A,250,N/A,N/A,N/A
1000,1000,32,250,lex,N/A,N/A
1000,1000,128,250,lex,3.72,2142
1000,1000,256,250,lex,3.69,2142
1000,1000,1024,250,lex,N/A,N/A
1000,1000,64,250,lex,3.96,2142
1000,100,1024,250,lex,4.25,2142
5636,100,512,250,lex,N/A,N/A
1000,100,512,250,lex,3.75,2142
5636,100,32,250,lex,N/A,N/A
5636,100,128,250,lex,3.73,2142
5636,100,256,250,lex,N/A,N/A
5636,100,64,250,lex,5.1,2142
1000,1000,512,250,lex,3.93,2142
1000,100,64,250,lex,N/A,N/A
5636,100,1024,250,lex,N/A,N/A
1000,100,32,250,lex,N/A,N/A
1000,100,128,250,lex,N/A,N/A
1000,100,256,250,lex,N/A,N/A
N/A,N/A,N/A,500,N/A,N/A,N/A
1000,1000,512,500,lex,25.98,2022
5636,100,64,500,lex,19.86,2022
5636,100,128,500,lex,24.43,2022
5636,100,256,500,lex,N/A,N/A
5636,100,32,500,lex,N/A,N/A
1000,100,128,500,lex,N/A,N/A
1000,100,256,500,lex,N/A,N/A
1000,100,32,500,lex,N/A,N/A
5636,100,1024,500,lex,N/A,N/A
1000,100,64,500,lex,N/A,N/A
1000,100,1024,500,lex,31.66,2022
5636,100,512,500,lex,N/A,N/A
1000,1000,64,500,lex,26.89,2022
1000,1000,1024,500,lex,N/A,N/A
1000,1000,128,500,lex,24.46,2022
1000,1000,256,500,lex,N/A,N/A
1000,1000,32,500,lex,N/A,N/A
1000,100,512,500,lex,25.04,2022
