Samples,Epochs,Batchsize,Offers,Type,Time,Price
N/A,N/A,N/A,20,N/A,N/A,N/A
5636,100,128,20,lex,82.76,3687
1000,1000,512,20,lex,82.74,3687
5636,100,1024,20,lex,2.13,3687
1000,100,256,20,lex,2.08,3687
1000,100,1024,20,lex,N/A,N/A
1000,100,32,20,lex,2.09,3687
5636,100,256,20,lex,2.06,3687
1000,1000,32,20,lex,2.17,3687
1000,100,128,20,lex,2.08,3687
5636,100,32,20,lex,2.1,3687
1000,100,512,20,lex,300.52,3687
1000,1000,1024,20,lex,2.06,3687
1000,1000,256,20,lex,2.08,3687
5636,100,64,20,lex,84.14,3687
5636,100,512,20,lex,2.04,3687
1000,100,64,20,lex,2.21,3687
1000,1000,128,20,lex,83.53,3687
1000,1000,64,20,lex,81.87,3687
N/A,N/A,N/A,27,N/A,N/A,N/A
1000,100,512,27,lex,1.22,2400
1000,1000,1024,27,lex,1.16,2400
1000,1000,256,27,lex,1.19,2400
5636,100,64,27,lex,2.64,3360
1000,1000,64,27,lex,3.38,3360
1000,100,64,27,lex,1.2,2400
5636,100,512,27,lex,1.19,2400
1000,1000,128,27,lex,3.46,3360
5636,100,128,27,lex,2.57,3360
1000,1000,512,27,lex,2.54,3360
1000,100,256,27,lex,1.17,2400
5636,100,1024,27,lex,1.21,2400
1000,1000,32,27,lex,10.94,3360
5636,100,256,27,lex,1.21,2400
1000,100,32,27,lex,1.17,2400
1000,100,1024,27,lex,1.26,2400
5636,100,32,27,lex,1.19,2400
1000,100,128,27,lex,1.2,2400
N/A,N/A,N/A,40,N/A,N/A,N/A
1000,100,128,40,lex,3.94,3052
5636,100,32,40,lex,3.88,3052
1000,100,1024,40,lex,742.48,3052
1000,100,32,40,lex,3.89,3052
5636,100,256,40,lex,98.55,10108
1000,1000,32,40,lex,3.57,3052
5636,100,1024,40,lex,4.08,3052
1000,100,256,40,lex,3.88,3052
1000,1000,512,40,lex,3.43,3052
5636,100,128,40,lex,3.49,3052
1000,1000,128,40,lex,82.71,3052
5636,100,512,40,lex,3.92,3052
1000,100,64,40,lex,4.0,3052
1000,1000,64,40,lex,40.22,3052
5636,100,64,40,lex,82.06,3052
1000,1000,1024,40,lex,3.85,3052
1000,1000,256,40,lex,3.93,3052
1000,100,512,40,lex,4.03,3052
N/A,N/A,N/A,250,N/A,N/A,N/A
1000,1000,1024,250,lex,N/A,N/A
1000,100,512,250,lex,15.46,2814
1000,1000,32,250,lex,N/A,N/A
1000,1000,128,250,lex,195.88,2814
1000,1000,256,250,lex,15.25,2814
5636,100,512,250,lex,N/A,N/A
1000,1000,64,250,lex,15.03,2814
1000,100,1024,250,lex,22.21,2814
5636,100,64,250,lex,N/A,N/A
5636,100,1024,250,lex,N/A,N/A
1000,100,256,250,lex,N/A,N/A
1000,100,128,250,lex,N/A,N/A
5636,100,32,250,lex,N/A,N/A
5636,100,256,250,lex,N/A,N/A
5636,100,128,250,lex,15.08,2814
1000,100,32,250,lex,N/A,N/A
1000,100,64,250,lex,N/A,N/A
1000,1000,512,250,lex,30.7,2814
N/A,N/A,N/A,500,N/A,N/A,N/A
5636,100,32,500,lex,N/A,N/A
1000,100,256,500,lex,N/A,N/A
1000,100,128,500,lex,N/A,N/A
5636,100,1024,500,lex,N/A,N/A
5636,100,64,500,lex,N/A,N/A
1000,1000,512,500,lex,60.82,2674
1000,100,64,500,lex,N/A,N/A
1000,100,32,500,lex,N/A,N/A
5636,100,256,500,lex,N/A,N/A
5636,100,128,500,lex,61.63,2674
1000,100,512,500,lex,63.3,2674
1000,1000,1024,500,lex,N/A,N/A
1000,100,1024,500,lex,57.52,2674
1000,1000,64,500,lex,60.77,2674
5636,100,512,500,lex,N/A,N/A
1000,1000,128,500,lex,571.85,2674
1000,1000,256,500,lex,N/A,N/A
1000,1000,32,500,lex,N/A,N/A
