Samples,Epochs,Batchsize,Offers,Type,Time,Price
N/A,N/A,N/A,20,N/A,1106.49,2289
5636,100,1024,20,lex,0.38,2289
5636,100,256,20,lex,0.38,2289
1000,1000,32,20,lex,0.38,2289
1000,100,32,20,lex,1.66,2289
5636,100,32,20,lex,0.41,2289
1000,1000,512,20,lex,1.63,2289
1000,100,128,20,lex,1.65,2289
5636,100,128,20,lex,1.65,2289
1000,100,256,20,lex,0.38,2289
1000,100,1024,20,lex,0.34,2289
5636,100,64,20,lex,2.37,2289
1000,1000,256,20,lex,1.67,2289
1000,1000,64,20,lex,0.37,2289
5636,100,512,20,lex,0.38,2289
1000,100,64,20,lex,1.66,2289
1000,1000,128,20,lex,1.65,2289
1000,1000,1024,20,lex,1.65,2289
1000,100,512,20,lex,0.38,2289
N/A,N/A,N/A,27,N/A,537.34,1680
1000,1000,256,27,lex,0.36,1680
5636,100,64,27,lex,0.62,1680
1000,100,64,27,lex,0.36,1680
5636,100,512,27,lex,0.36,1680
1000,1000,64,27,lex,0.35,1680
1000,1000,1024,27,lex,0.36,1680
1000,100,512,27,lex,0.35,1680
1000,1000,128,27,lex,0.35,1680
1000,100,32,27,lex,0.36,1680
1000,1000,32,27,lex,3.37,2280
5636,100,1024,27,lex,0.35,1680
5636,100,256,27,lex,0.36,1680
1000,100,128,27,lex,0.36,1680
1000,1000,512,27,lex,0.36,1680
5636,100,32,27,lex,0.47,1680
5636,100,128,27,lex,0.35,1680
1000,100,1024,27,lex,0.23,1680
1000,100,256,27,lex,0.36,1680
N/A,N/A,N/A,40,N/A,N/A,N/A
1000,100,256,40,lex,1.2,1908
1000,100,1024,40,lex,1.14,1908
5636,100,128,40,lex,1.37,1908
5636,100,32,40,lex,1.6,1908
1000,1000,512,40,lex,1.34,1908
1000,100,128,40,lex,1.16,1908
5636,100,256,40,lex,1.19,1908
5636,100,1024,40,lex,1.2,1908
1000,1000,32,40,lex,1.3,1908
1000,100,32,40,lex,1.2,1908
1000,1000,128,40,lex,1.34,1908
1000,100,512,40,lex,1.2,1908
1000,1000,1024,40,lex,1.18,1908
1000,1000,64,40,lex,1.18,1908
5636,100,512,40,lex,1.2,1908
1000,100,64,40,lex,1.2,1908
5636,100,64,40,lex,2.26,1908
1000,1000,256,40,lex,1.2,1908
N/A,N/A,N/A,250,N/A,N/A,N/A
1000,100,1024,250,lex,2.38,1764
1000,100,512,250,lex,3.97,1764
1000,1000,256,250,lex,3.97,1764
1000,1000,128,250,lex,4.0,1764
1000,1000,64,250,lex,3.92,1764
5636,100,512,250,lex,359.49,4203
1000,1000,32,250,lex,381.54,4203
1000,100,256,250,lex,388.98,4203
1000,100,128,250,lex,359.9,4203
1000,100,32,250,lex,366.23,4203
1000,1000,1024,250,lex,363.45,4203
1000,1000,512,250,lex,3.91,1764
1000,100,64,250,lex,366.68,4203
5636,100,64,250,lex,7.4,1764
5636,100,256,250,lex,367.47,4203
5636,100,128,250,lex,4.0,1764
5636,100,32,250,lex,4.77,1764
5636,100,1024,250,lex,367.08,4203
N/A,N/A,N/A,500,N/A,N/A,N/A
1000,100,64,500,lex,1363.78,3920
1000,1000,512,500,lex,11.83,1674
1000,1000,1024,500,lex,1339.61,3920
1000,100,32,500,lex,1376.74,3920
1000,100,256,500,lex,1365.09,3920
1000,100,128,500,lex,1354.85,3920
5636,100,1024,500,lex,1371.73,3920
5636,100,32,500,lex,1872.01,3920
5636,100,256,500,lex,1610.32,3920
5636,100,128,500,lex,11.99,1674
5636,100,64,500,lex,20.54,1674
1000,1000,256,500,lex,1363.27,3920
1000,1000,128,500,lex,11.9,1674
1000,100,512,500,lex,11.95,1674
1000,100,1024,500,lex,14.01,1674
1000,1000,32,500,lex,1187.33,3920
5636,100,512,500,lex,2021.58,3920
1000,1000,64,500,lex,11.87,1674
